"","X","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1394",1394,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Multiple wars, border insanity, unaffordable housing, high costs, crime, racial divide<U+2026>.why wouldn<U+2019>t you want four more years of Biden? <U+0001F926><U+0001F3FD>","Multiple wars, border insanity, unaffordable housing, high costs, crime, racial divide<U+2026>.why wouldn<U+2019>t you want four more years of Biden? <U+0001F926><U+0001F3FD>","@sdwii4962","https://yt3.ggpht.com/SuXFLBZS0W2YHXqA7PNEFr3zTNU5CaqHevcen0chpxAwexO4diyWiUBJ0BAO6VNMHgTPx7C6Ztc=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCMlRtD8AEFWi11U3anGOoAA","UCMlRtD8AEFWi11U3anGOoAA",TRUE,"none",0,"2023-11-07T03:09:42Z","2023-11-07T03:10:02Z","Ugzs_fYVKf925-YNZcl4AaABAg",NA,NA
"1395",1395,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Yo like where in the world do these people get these polls from????  Like has anyone taken a vote?","Yo like where in the world do these people get these polls from????  Like has anyone taken a vote?","@JUNIER-qg4iu","https://yt3.ggpht.com/urlE1MUKOAY2K8jTL0ROE13tpfEwPQRRukjCguheawPQ2n_DvScKvUFd63hhLGCi4A4f2Nqj=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCT26_KxxOnqGAO4Xfv1UbGQ","UCT26_KxxOnqGAO4Xfv1UbGQ",TRUE,"none",0,"2023-11-07T03:09:20Z","2023-11-07T03:10:07Z","UgxSRRQ_KH6OdtHnHTp4AaABAg",NA,NA
"1396",1396,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","The more they go after him the stronger he gets","The more they go after him the stronger he gets","@justingarretson2054","https://yt3.ggpht.com/ytc/AIf8zZSGT45L4brhT5y-cIktwzxDDgQnfUMXcBsBqQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCjv0TJzHqfwSOA7iYWlaOaA","UCjv0TJzHqfwSOA7iYWlaOaA",TRUE,"none",16,"2023-11-07T03:06:52Z","2023-11-07T03:06:52Z","UgyGqGjqw7Q2WhwsiJJ4AaABAg",NA,NA
"1397",1397,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","BLACK MEN WILL VOTE TRUMP INTO OFFICE <U+0001F62E><U+200D><U+0001F4A8>","BLACK MEN WILL VOTE TRUMP INTO OFFICE <U+0001F62E><U+200D><U+0001F4A8>","@VJDagoat","https://yt3.ggpht.com/ytc/AIf8zZQH2OS0JbizY5EOJtrp2QGoHKolCMzK_CISgxxHbsHeOh7zwAXtzEdjp7HSWzF64Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC4bSKOS0NoYaob3LUFffz_g","UC4bSKOS0NoYaob3LUFffz_g",TRUE,"none",0,"2023-11-07T03:05:58Z","2023-11-07T03:05:58Z","Ugx-eCvl9-8OJwYOBtx4AaABAg",NA,NA
"1398",1398,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","The same liberals who used to be mad happy seeing hilary clinton winning polls are now calling polls inaccurate oh the irony","The same liberals who used to be mad happy seeing hilary clinton winning polls are now calling polls inaccurate oh the irony","@theviper3479","https://yt3.ggpht.com/ytc/AIf8zZQx9bD7H7zLcPTSNU2B0f-buQc1Ny3Tm8XgtGJz=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxKE13DxxKG-UldXufM2zvw","UCxKE13DxxKG-UldXufM2zvw",TRUE,"none",0,"2023-11-07T03:04:01Z","2023-11-07T03:04:01Z","UgxsFtaiJN_JIkTQozd4AaABAg",NA,NA
"1399",1399,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Democrats are going to take us all down yet again. They learned nothing from Hilary Clinton","Democrats are going to take us all down yet again. They learned nothing from Hilary Clinton","@dtquinn100","https://yt3.ggpht.com/ytc/AIf8zZR9zI-qT231ISi7WM_aXyWjB66Fwt0JxK29pw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCDOZKOkcJernZNlSTbHjPrw","UCDOZKOkcJernZNlSTbHjPrw",TRUE,"none",0,"2023-11-07T03:03:18Z","2023-11-07T03:03:18Z","UgziXIZgkdgunEGEf7x4AaABAg",NA,NA
"1400",1400,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Wisconsin more likely trump. Michigan no. Michigan gander here.","Wisconsin more likely trump. Michigan no. Michigan gander here.","@travissmith-wz5nc","https://yt3.ggpht.com/ytc/AIf8zZTaqYil495vWifoiItRtxjSfNh8CAm6dB96mQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCZGCCX5sqcIn7pjsIuXKQUA","UCZGCCX5sqcIn7pjsIuXKQUA",TRUE,"none",0,"2023-11-07T03:02:23Z","2023-11-07T03:02:23Z","UgwrADWLvCBznK-M5Il4AaABAg",NA,NA
"1401",1401,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","If this is the choice again, the country is over","If this is the choice again, the country is over","@bryanb5353","https://yt3.ggpht.com/ytc/AIf8zZQHycgVPYwCYI6TqDnRhX9TENxw5laVOiXOxPkuG1YEIHSsQ9msPmimur4OPZP2=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCOI2pbsoxKDVEEk5zX6Kxew","UCOI2pbsoxKDVEEk5zX6Kxew",TRUE,"none",4,"2023-11-07T03:01:54Z","2023-11-07T03:01:54Z","UgxwzxCh6jen3HQnZkR4AaABAg",NA,NA
"1402",1402,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","I don&#39;t believe any of the polls after they were wrong in 2016, 2020, 2022...","I don't believe any of the polls after they were wrong in 2016, 2020, 2022...","@williamculbertson3066","https://yt3.ggpht.com/ytc/AIf8zZQQQL2buhQp9aOJBZ3O157-5mFqwk24x2MaXA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxz1DCAJCmHEi78N4WbXQSg","UCxz1DCAJCmHEi78N4WbXQSg",TRUE,"none",1,"2023-11-07T02:59:15Z","2023-11-07T02:59:15Z","UgyT1OyH7OsTxl89DON4AaABAg",NA,NA
"1403",1403,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Biden was in the basement in 2020. Tell me how he was win that election<U+0001F92B><U+0001F914><U+0001F633>","Biden was in the basement in 2020. Tell me how he was win that election<U+0001F92B><U+0001F914><U+0001F633>","@leadkins5759","https://yt3.ggpht.com/ytc/AIf8zZT7pSKKfJdPdxUsd9o6rHfPNgQx5SuNB0fy0Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGtDl715QpcsI8KATYiMkIg","UCGtDl715QpcsI8KATYiMkIg",TRUE,"none",0,"2023-11-07T02:57:22Z","2023-11-07T02:57:22Z","UgyPTjGYhOibzSLau-N4AaABAg",NA,NA
